강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고산
기간 : 20190101~20210228

날짜,지점,강수량(mm)
2021-01-10,185,1.5
2021-01-11,185,11
2021-01-12,185,2.3
2021-01-13,185,
2021-01-14,185,
2021-01-15,185,
2021-01-16,185,
2021-01-17,185,0
2021-01-18,185,0
2021-01-19,185,
2021-01-20,185,
2021-01-21,185,0.3
2021-01-22,185,10.6
2021-01-23,185,24.2
2021-01-24,185,0.3
2021-01-25,185,
2021-01-26,185,14.3
2021-01-27,185,
2021-01-28,185,0
2021-01-29,185,0
2021-01-30,185,
2021-01-31,185,2
2021-02-01,185,23.2
2021-02-02,185,
2021-02-03,185,
2021-02-04,185,0.1
2021-02-05,185,1.5
2021-02-06,185,
2021-02-07,185,
2021-02-08,185,
2021-02-09,185,
2021-02-10,185,
2021-02-11,185,
2021-02-12,185,0
2021-02-13,185,
2021-02-14,185,7.4
2021-02-15,185,0
2021-02-16,185,0.1
2021-02-17,185,0
2021-02-18,185,0
2021-02-19,185,
2021-02-20,185,
2021-02-21,185,0
2021-02-22,185,
2021-02-23,185,0
2021-02-24,185,
2021-02-25,185,9.1
2021-02-26,185,0.5
2021-02-27,185,
2021-02-28,185,0
